,collapse,cure,flow
Vision,-0.17419362,-0.29277682,0.24225128
Bright,-0.04469891,-0.008100569,-0.071241796
Dark,0.28317934,-0.26670265,-0.0705568
Color,0.2153717,-0.18339008,-0.21415733
Pattern,-0.31086218,-0.032859206,-0.009676248
Large,0.15614796,0.14644706,0.6909065
Small,-0.21141703,-0.2558149,0.14549273
Motion,-0.29308677,0.5524106,0.5726707
Biomotion,0.20201746,0.4785023,0.9715971
Fast,-0.29732418,0.44773573,0.39225674
Slow,-0.123974174,0.1802135,-0.08092952
Shape,-0.3082443,-0.041049004,0.28559273
Face,0.71522945,-0.18135822,0.67685455
Body,0.113982856,-0.047079027,0.7746842
Touch,-0.96647584,-0.10847515,-0.23835266
Temperature,-0.3126899,-0.42883265,-0.88591677
Texture,-0.41451985,-0.11620033,-0.0012431145
Weight,-0.019477904,-0.15635467,0.3893391
Pain,-0.26177907,-0.27754182,-0.27571034
Audition,0.35292113,0.55206656,0.42574894
Loud,0.11491084,0.31097648,0.4683696
Low,0.12656254,0.15731615,0.09620774
High,0.102764726,0.26975197,0.20825276
Sound,0.048571587,0.4529829,0.18411231
Music,0.09827435,-0.053025693,0.15226343
Speech,0.8230707,-0.095914245,0.7702053
Taste,-0.07647213,-0.8142388,-0.36290017
Smell,-0.14370206,-0.3566134,0.12716362
Head,0.4040456,-0.31957018,-0.060134172
UpperLimb,-0.5115238,-0.5259608,0.20683658
LowerLimb,-0.79708487,0.16920131,0.23572826
Landmark,-0.3484,-0.17982388,0.004377842
Path,-0.3406272,0.27377498,0.080023766
Scene,-0.22805297,-0.20860243,-0.16227412
Near,-0.61971045,-0.18423814,0.10814643
Toward,-0.2980911,-0.26151663,-0.11358178
Away,-0.3730873,0.20773762,0.016911507
Number,0.15924025,0.1080136,0.6217958
Time,0.26727223,-0.10841632,0.09538412
Duration,0.0844177,-0.04577148,0.0033775568
Long,0.13028455,-0.020185947,0.04150784
Short,-0.27401423,0.09272778,-0.09793544
Consequential,0.21458769,0.22866297,0.13653255
Social,0.399069,0.26805234,0.7992389
Human,0.6568152,-0.059444427,0.9730512
Communication,0.49525607,0.5396248,0.46126235
Self,-0.33438253,0.3007028,0.17145848
Cognition,0.39300144,0.51110625,0.21388555
Benefit,-0.16590399,0.5114517,0.11250687
Harm,0.11389828,-0.004495859,0.18083322
Pleasant,-0.41043973,0.20720935,0.19202209
Unpleasant,0.24632883,-0.3089137,-0.09936185
Happy,-0.33953452,0.34462547,0.38511133
Sad,0.33455777,-0.3229981,-0.07662885
Angry,0.44327283,-0.17711258,0.3495276
Disgusted,0.24999452,-0.16596776,0.18495834
Fearful,0.24316597,-0.1459794,0.050654173
Surprised,-0.0634079,0.42627358,0.21513236
Drive,0.21028817,0.25081015,0.33468843
Needs,-0.5319989,0.16156936,-0.40749812
Attention,0.22381616,0.5445999,0.6638026
Arousal,0.10486221,0.13771415,0.47578
