coarse_categories,collapse,flow,cure
Vision,-0.005562314,0.3075532,0.035441335
Somatic,-0.3949885,-0.20237675,-0.21748093
Audition,0.2381537,0.3293086,0.22773631
Gustation,-0.07647213,-0.36290017,-0.8142388
Olfaction,-0.14370206,0.12716362,-0.3566134
Motor,-0.301521,0.12747689,-0.22544323
Spatial,-0.29267552,0.079342775,-0.034950696
Temporal,0.051990062,0.01058352,-0.020411491
Causal,0.21458769,0.13653255,0.22866297
Social,0.30418944,0.60125273,0.26223388
Cognition,0.39300144,0.21388555,0.51110625
Emotion,0.065193206,0.14947553,0.03640927
Drive,-0.16085535,-0.036404848,0.20618975
Attention,0.16433918,0.5697913,0.34115702
